Stand: 22.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Haßberge;304;(+ 8);360,26;50;59,25;6;-
Hof;600;(+ 18);632,90;30;31,65;32;-
Hof Stadt;212;(+ 8);462,63;17;37,10;5;-
Ingolstadt Stadt;996;(+ 22);724,93;102;74,24;39;-
Kaufbeuren Stadt;249;(+ 14);560,84;29;65,32;10;-
Kelheim;736;(+ 9);598,09;37;30,07;36;-
Kempten Stadt;244;(+ 9);352,85;40;57,84;10;-
Kitzingen;363;(+ 6);398,22;48;52,66;4;-
Kronach;219;(+ 9);328,12;16;23,97;3;-
Kulmbach;354;(+ 3);494,65;25;34,93;11;-
Landsberg am Lech;606;(+ 15);503,73;74;61,51;10;-
Landshut;1.036;(+ 38);647,93;107;66,92;34;-
Landshut Stadt;501;(+ 8);682,46;25;34,05;9;-
Lichtenfels;437;(+ 3);654,43;34;50,92;17;-
Lindau (Bodensee);400;(+ 8);487,92;49;59,77;8;-
Main-Spessart;303;(+ 9);240,18;29;22,99;6;-
Memmingen Stadt;225;-;510,20;35;79,37;2;-
Miesbach;869;(+ 15);868,91;58;57,99;11;-
Miltenberg;589;(+ 24);457,50;85;66,02;8;-
Mühldorf a.Inn;867;(+ 20);748,24;111;95,80;27;-
München;2.558;(+ 88);729,87;220;62,77;96;-
München Stadt;14.255;(+ 279);960,43;1.223;82,40;237;(+ 1)
Neu-Ulm;1.013;(+ 24);578,18;94;53,65;26;-
Neuburg-Schrobenhausen;564;(+ 16);579,63;71;72,97;18;-
Neumarkt i.d.Opf.;676;(+ 21);502,33;67;49,79;17;-
Neustadt a.d. Aisch-Bad Windsheim;333;(+ 5);329,66;24;23,76;6;-
Neustadt a.d. Waldnaab;1.074;(+ 26);1.137,11;99;104,82;75;-
Nürnberg Stadt;2.793;(+ 101);538,80;351;67,71;55;-
Nürnberger Land;926;(+ 7);542,18;65;38,06;44;-
Oberallgäu;399;(+ 15);255,76;60;38,46;8;-
Ostallgäu;899;(+ 40);636,77;131;92,79;40;-
Passau;1.115;(+ 58);578,75;199;103,29;31;-
Passau Stadt;285;(+ 17);539,74;38;71,97;18;-
Pfaffenhofen a.d.Ilm;660;(+ 33);514,71;94;73,31;22;-
Regen;395;(+ 10);510,27;73;94,30;12;-
Regensburg;868;(+ 15);447,26;50;25,76;17;-
Regensburg Stadt;1.102;(+ 23);719,82;84;54,87;10;-
Rhön-Grabfeld;341;(+ 8);428,20;21;26,37;9;-
Rosenheim;3.021;(+ 62);1.156,01;215;82,27;202;-
Rosenheim Stadt;859;(+ 20);1.351,67;61;95,99;23;-
Roth;468;(+ 12);369,23;63;49,70;7;-
Rottal-Inn;1.124;-;925,09;108;88,89;51;-
Schwabach Stadt;166;(+ 4);405,07;20;48,80;2;-
Schwandorf;677;(+ 14);457,83;41;27,73;21;-
Schweinfurt;911;(+ 20);789,12;137;118,67;25;-
Schweinfurt Stadt;364;(+ 11);681,32;58;108,56;18;-
Starnberg;951;(+ 16);695,85;77;56,34;13;-
Straubing Stadt;549;(+ 9);1.148,75;38;79,51;48;-
Straubing-Bogen;691;(+ 12);683,35;38;37,58;29;-
Tirschenreuth;1.332;(+ 35);1.848,82;60;83,28;141;-
Traunstein;1.633;(+ 36);920,94;106;59,78;88;-
Unterallgäu;668;(+ 37);459,61;104;71,56;18;-
Weiden Stadt;493;(+ 10);1.153,41;52;121,66;20;-
Weilheim-Schongau;654;(+ 30);482,74;131;96,69;3;-
Weißenburg-Gunzenhausen;516;(+ 7);544,68;51;53,83;25;-
Wunsiedel i.Fichtelgebirge;850;(+ 15);1.169,91;49;67,44;46;-
Würzburg;802;(+ 20);494,14;97;59,77;7;-
Würzburg Stadt;982;(+ 27);767,58;105;82,07;52;-
Gesamtergebnis;84.398;(+ 2.128);643,05;8.375;63,81;2.727;(+ 2)
