Stand: 22.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;653;(+ 29);484,94;82;60,90;20;-
Altötting;792;(+ 8);710,21;30;26,90;57;-
Amberg Stadt;165;(+ 3);390,93;11;26,06;4;-
Amberg-Sulzbach;590;(+ 6);572,54;27;26,20;54;-
Ansbach;823;(+ 29);445,85;70;37,92;28;-
Ansbach Stadt;216;(+ 4);516,77;8;19,14;8;-
Aschaffenburg;848;(+ 23);486,80;75;43,05;42;-
Aschaffenburg Stadt;238;(+ 5);335,20;25;35,21;1;-
Augsburg;1.104;(+ 77);435,56;194;76,54;13;-
Augsburg Stadt;1.730;(+ 44);583,31;401;135,21;17;-
Bad Kissingen;327;(+ 9);316,75;19;18,40;18;-
Bad Tölz;737;(+ 12);576,15;57;44,56;10;-
Bamberg;620;(+ 12);421,30;52;35,33;38;-
Bamberg Stadt;305;(+ 8);394,19;18;23,26;22;-
Bayreuth;504;(+ 12);486,19;36;34,73;28;-
Bayreuth Stadt;334;(+ 12);446,63;30;40,12;11;-
Berchtesgadener Land;877;(+ 64);827,91;310;292,65;25;-
Cham;678;(+ 25);529,70;81;63,28;21;-
Coburg;490;(+ 19);564,86;30;34,58;30;-
Coburg Stadt;171;(+ 11);416,34;19;46,26;4;-
Dachau;1.468;(+ 26);947,71;123;79,41;35;(- 1)
Deggendorf;590;(+ 10);493,81;45;37,66;20;-
Dillingen a.d. Donau;441;(+ 8);456,70;35;36,25;29;-
Dingolfing-Landau;1.072;(+ 6);1.108,78;41;42,41;11;-
Donau-Ries;639;(+ 22);477,64;99;74,00;26;-
Ebersberg;971;(+ 18);675,95;84;58,48;7;-
Eichstätt;531;(+ 23);399,61;68;51,17;20;-
Erding;972;(+ 15);703,42;51;36,91;11;-
Erlangen Stadt;500;(+ 20);444,33;52;46,21;12;-
Erlangen-Höchstadt;482;(+ 15);351,15;45;32,78;11;-
Forchheim;364;(+ 6);313,24;29;24,96;4;-
Freising;1.511;(+ 20);839,41;97;53,89;48;(+ 1)
Freyung-Grafenau;307;(+ 5);391,77;27;34,46;14;(+ 1)
Fürstenfeldbruck;1.809;(+ 37);824,86;216;98,49;38;-
Fürth;730;(+ 30);619,42;69;58,55;60;-
Fürth Stadt;717;(+ 7);557,99;54;42,02;38;-
Garmisch-Partenkirchen;467;-;528,14;19;21,49;20;-
Günzburg;548;(+ 19);431,40;70;55,11;4;-
