Stand: 26.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;717;(+ 9);532,47;107;79,46;20;-
Altötting;827;(+ 11);741,60;50;44,84;57;-
Amberg Stadt;173;-;409,88;14;33,17;4;-
Amberg-Sulzbach;609;-;590,98;39;37,85;54;-
Ansbach;900;(+ 34);487,56;113;61,22;28;-
Ansbach Stadt;235;(+ 11);562,23;20;47,85;8;-
Aschaffenburg;925;-;531,00;116;66,59;42;-
Aschaffenburg Stadt;263;-;370,41;36;50,70;2;-
Augsburg;1.207;-;476,19;248;97,84;13;-
Augsburg Stadt;2.074;(+ 105);699,30;504;169,94;18;-
Bad Kissingen;361;(+ 3);349,69;49;47,46;18;-
Bad Tölz;775;(+ 3);605,86;66;51,60;10;-
Bamberg;663;-;450,52;72;48,93;38;-
Bamberg Stadt;333;(+ 1);430,38;40;51,70;22;-
Bayreuth;556;(+ 9);536,35;75;72,35;28;-
Bayreuth Stadt;396;(+ 13);529,53;81;108,31;12;-
Berchtesgadener Land;1.001;(+ 42);944,97;251;236,95;26;(+ 1)
Cham;731;(+ 9);571,10;93;72,66;21;-
Coburg;522;(+ 5);601,75;56;64,56;31;-
Coburg Stadt;184;(+ 4);447,99;25;60,87;4;-
Dachau;1.547;-;998,72;132;85,22;36;-
Deggendorf;649;(+ 5);543,20;79;66,12;20;-
Dillingen a.d. Donau;490;(+ 16);507,45;68;70,42;29;-
Dingolfing-Landau;1.119;(+ 11);1.157,39;67;69,30;11;-
Donau-Ries;713;(+ 6);532,95;160;119,60;26;-
Ebersberg;1.052;(+ 7);732,34;129;89,80;8;-
Eichstätt;582;(+ 18);437,99;83;62,46;20;-
Erding;1.021;-;738,88;81;58,62;11;-
Erlangen Stadt;535;-;475,44;64;56,87;12;-
Erlangen-Höchstadt;523;-;381,02;65;47,35;11;-
Forchheim;410;(+ 7);352,83;64;55,08;4;-
Freising;1.555;-;863,86;115;63,89;48;-
Freyung-Grafenau;330;-;421,12;35;44,66;14;-
Fürstenfeldbruck;1.898;-;865,44;165;75,24;38;-
Fürth;767;(+ 14);650,81;95;80,61;60;-
Fürth Stadt;774;(+ 23);602,35;71;55,25;38;-
Garmisch-Partenkirchen;510;(+ 9);576,77;49;55,41;20;-
Günzburg;590;-;464,47;74;58,26;4;-
Haßberge;343;(+ 4);406,48;63;74,66;6;-
Hof;628;-;662,44;48;50,63;32;-
Hof Stadt;221;-;482,27;16;34,92;5;-
Ingolstadt Stadt;1.087;(+ 9);791,17;140;101,90;40;(+ 1)
Kaufbeuren Stadt;286;(+ 10);644,17;56;126,13;10;-
Kelheim;760;(+ 10);617,59;38;30,88;36;-
Kempten Stadt;298;(+ 5);430,94;72;104,12;10;-
Kitzingen;441;(+ 20);483,79;98;107,51;4;-
Kronach;241;(+ 5);361,09;34;50,94;3;-
Kulmbach;412;(+ 29);575,69;63;88,03;11;-
Landsberg am Lech;641;-;532,83;80;66,50;10;-
Landshut;1.127;(+ 42);704,84;152;95,06;34;-
Landshut Stadt;539;(+ 15);734,22;49;66,75;9;-
Lichtenfels;480;(+ 3);718,82;61;91,35;17;-
Lindau (Bodensee);426;(+ 3);519,63;46;56,11;8;-
Main-Spessart;334;(+ 4);264,75;46;36,46;6;-
Memmingen Stadt;275;(+ 9);623,58;65;147,39;2;-
Miesbach;936;(+ 17);935,91;96;95,99;11;-
Miltenberg;686;(+ 15);532,84;132;102,53;9;-
Mühldorf a.Inn;972;(+ 25);838,86;164;141,54;27;-
München;2.811;(+ 61);802,06;369;105,29;96;-
München Stadt;15.396;(+ 300);1.037,31;1.699;114,47;240;(+ 1)
Neu-Ulm;1.123;(+ 12);640,97;160;91,32;26;-
Neuburg-Schrobenhausen;645;(+ 14);662,88;108;110,99;18;-
Neumarkt i.d.Opf.;702;-;521,65;66;49,04;17;-
Neustadt a.d. Aisch-Bad Windsheim;357;(+ 4);353,42;35;34,65;6;-
Neustadt a.d. Waldnaab;1.177;(+ 25);1.246,16;160;169,40;75;-
Nürnberg Stadt;2.928;-;564,85;394;76,01;56;-
Nürnberger Land;998;-;584,34;92;53,87;44;-
Oberallgäu;492;(+ 4);315,37;125;80,12;8;-
Ostallgäu;994;(+ 26);704,06;153;108,37;40;-
Passau;1.272;(+ 60);660,24;241;125,09;31;-
Passau Stadt;326;(+ 9);617,39;63;119,31;18;-
Pfaffenhofen a.d.Ilm;724;(+ 14);564,62;114;88,90;23;-
Regen;418;(+ 7);539,98;39;50,38;12;-
Regensburg;943;(+ 13);485,91;98;50,50;17;-
Regensburg Stadt;1.156;(+ 8);755,09;89;58,13;10;-
Rhön-Grabfeld;360;-;452,06;36;45,21;9;-
Rosenheim;3.243;(+ 33);1.240,96;340;130,10;202;-
Rosenheim Stadt;951;(+ 25);1.496,44;116;182,53;23;-
Roth;484;-;381,86;46;36,29;7;-
Rottal-Inn;1.392;(+ 62);1.145,66;339;279,01;52;(+ 1)
Schwabach Stadt;168;-;409,95;13;31,72;2;-
Schwandorf;728;(+ 7);492,32;74;50,04;21;-
Schweinfurt;1.049;(+ 56);908,66;206;178,44;25;-
Schweinfurt Stadt;434;(+ 27);812,34;98;183,43;18;-
Starnberg;1.012;(+ 12);740,49;90;65,85;13;-
Straubing Stadt;578;(+ 9);1.209,43;46;96,25;48;-
Straubing-Bogen;753;(+ 16);744,66;81;80,10;29;-
Tirschenreuth;1.349;(+ 7);1.872,41;55;76,34;142;-
Traunstein;1.759;(+ 19);992,00;187;105,46;88;-
Unterallgäu;723;-;497,45;107;73,62;18;-
Weiden Stadt;549;(+ 12);1.284,42;88;205,88;20;-
Weilheim-Schongau;690;-;509,31;120;88,58;4;-
Weißenburg-Gunzenhausen;547;(+ 3);577,41;56;59,11;25;-
Wunsiedel i.Fichtelgebirge;882;(+ 13);1.213,96;57;78,45;46;-
Würzburg;873;(+ 21);537,89;119;73,32;7;-
Würzburg Stadt;1.061;(+ 24);829,33;142;110,99;52;-
Gesamtergebnis;91.697;(+ 1.503);698,66;11.591;88,31;2.744;(+ 4)
