Stand: 24.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Schweinfurt;966;(+ 26);836,76;145;125,60;25;-
Schweinfurt Stadt;387;(+ 7);724,37;58;108,56;18;-
Starnberg;986;(+ 16);721,46;90;65,85;13;-
Straubing Stadt;562;(+ 3);1.175,95;42;87,88;48;-
Straubing-Bogen;721;(+ 12);713,01;59;58,35;29;-
Tirschenreuth;1.341;(+ 6);1.861,31;54;74,95;142;(+ 1)
Traunstein;1.681;(+ 19);948,01;122;68,80;88;-
Unterallgäu;723;(+ 8);497,45;129;88,76;18;-
Weiden Stadt;530;(+ 27);1.239,97;74;173,13;20;-
Weilheim-Schongau;690;(+ 30);509,31;127;93,74;4;(+ 1)
Weißenburg-Gunzenhausen;536;(+ 10);565,79;45;47,50;25;-
Wunsiedel i.Fichtelgebirge;866;(+ 7);1.191,93;57;78,45;46;-
Würzburg;834;(+ 16);513,86;97;59,77;7;-
Würzburg Stadt;1.018;(+ 23);795,72;115;89,89;52;-
Gesamtergebnis;88.613;(+ 2.136);675,16;10.077;76,78;2.739;(+ 5)
