Stand: 24.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;669;-;496,83;70;51,98;20;-
Altötting;816;(+ 24);731,73;46;41,25;57;-
Amberg Stadt;168;(+ 2);398,04;9;21,32;4;-
Amberg-Sulzbach;607;(+ 9);589,04;39;37,85;54;-
Ansbach;833;-;451,27;61;33,05;28;-
Ansbach Stadt;216;-;516,77;7;16,75;8;-
Aschaffenburg;897;(+ 25);514,93;98;56,26;42;-
Aschaffenburg Stadt;255;(+ 5);359,14;35;49,29;2;(+ 1)
Augsburg;1.207;(+ 89);476,19;264;104,16;13;-
Augsburg Stadt;1.950;(+ 126);657,49;487;164,20;18;(+ 1)
Bad Kissingen;350;(+ 15);339,03;38;36,81;18;-
Bad Tölz;761;(+ 9);594,92;62;48,47;10;-
Bamberg;639;(+ 8);434,21;59;40,09;38;-
Bamberg Stadt;318;(+ 5);411,00;27;34,90;22;-
Bayreuth;543;(+ 17);523,81;69;66,56;28;(- 1)
Bayreuth Stadt;380;(+ 16);508,14;71;94,94;12;-
Berchtesgadener Land;919;-;867,56;272;256,78;26;-
Cham;705;(+ 17);550,79;92;71,88;21;-
Coburg;511;(+ 7);589,07;45;51,87;31;-
Coburg Stadt;175;(+ 3);426,08;21;51,13;4;-
Dachau;1.526;(+ 30);985,16;128;82,63;36;(+ 1)
Deggendorf;635;(+ 11);531,48;77;64,45;20;-
Dillingen a.d. Donau;457;(+ 4);473,27;38;39,35;29;-
Dingolfing-Landau;1.103;(+ 14);1.140,84;63;65,16;11;-
Donau-Ries;692;(+ 23);517,26;139;103,90;26;-
Ebersberg;1.023;(+ 26);712,15;112;77,97;8;-
Eichstätt;558;(+ 16);419,92;74;55,69;20;-
Erding;1.021;(+ 23);738,88;81;58,62;11;-
Erlangen Stadt;527;(+ 14);468,33;65;57,76;12;-
Erlangen-Höchstadt;509;(+ 18);370,82;56;40,80;11;-
Forchheim;381;(+ 11);327,87;36;30,98;4;-
Freising;1.555;(+ 19);863,86;115;63,89;48;-
Freyung-Grafenau;319;(+ 2);407,09;29;37,01;14;-
Fürstenfeldbruck;1.898;(+ 26);865,44;236;107,61;38;-
Fürth;745;(- 1);632,14;81;68,73;60;-
Fürth Stadt;741;(+ 18);576,67;48;37,35;38;-
Garmisch-Partenkirchen;491;(+ 5);555,28;32;36,19;20;-
Günzburg;590;(+ 17);464,47;90;70,85;4;-
Haßberge;333;(+ 15);394,62;68;80,58;6;-
Hof;624;(+ 22);658,22;46;48,52;32;-
Hof Stadt;217;(+ 2);473,54;17;37,10;5;-
Ingolstadt Stadt;1.053;(+ 39);766,42;133;96,80;39;-
Kaufbeuren Stadt;268;(+ 4);603,63;42;94,60;10;-
Kelheim;750;(+ 8);609,47;39;31,69;36;-
Kempten Stadt;274;(+ 28);396,23;60;86,77;10;-
Kitzingen;391;(+ 15);428,94;63;69,11;4;-
Kronach;231;(+ 3);346,10;25;37,46;3;-
Kulmbach;379;(+ 22);529,58;34;47,51;11;-
Landsberg am Lech;641;(+ 15);532,83;80;66,50;10;-
Landshut;1.085;(+ 27);678,57;130;81,30;34;-
Landshut Stadt;524;(+ 13);713,79;43;58,57;9;-
Lichtenfels;466;(+ 12);697,86;56;83,86;17;-
Lindau (Bodensee);415;(+ 5);506,21;53;64,65;8;-
Main-Spessart;322;(+ 6);255,24;40;31,71;6;-
Memmingen Stadt;255;(+ 30);578,23;51;115,65;2;-
Miesbach;905;(+ 22);904,91;83;82,99;11;-
Miltenberg;645;(+ 50);501,00;109;84,66;9;(+ 1)
Mühldorf a.Inn;913;(+ 11);787,94;125;107,88;27;-
München;2.681;(+ 72);764,97;290;82,75;96;-
München Stadt;14.881;(+ 370);1.002,61;1.459;98,30;237;(- 1)
Neu-Ulm;1.066;(+ 17);608,43;124;70,77;26;-
Neuburg-Schrobenhausen;597;(+ 15);613,55;82;84,27;18;-
Neumarkt i.d.Opf.;702;(+ 5);521,65;70;52,02;17;-
Neustadt a.d. Aisch-Bad Windsheim;345;(+ 4);341,54;25;24,75;6;-
Neustadt a.d. Waldnaab;1.138;(+ 37);1.204,87;132;139,76;75;-
Nürnberg Stadt;2.928;(+ 52);564,85;394;76,01;56;(+ 1)
Nürnberger Land;979;(+ 23);573,21;88;51,52;44;-
Oberallgäu;434;(+ 34);278,19;80;51,28;8;-
Ostallgäu;938;(+ 12);664,39;123;87,12;40;-
Passau;1.179;(+ 28);611,97;202;104,85;31;-
Passau Stadt;301;(+ 8);570,04;45;85,22;18;-
Pfaffenhofen a.d.Ilm;707;(+ 32);551,37;110;85,79;23;-
Regen;408;(+ 4);527,06;45;58,13;12;-
Regensburg;913;(+ 22);470,45;84;43,28;17;-
Regensburg Stadt;1.131;(+ 16);738,76;93;60,75;10;-
Rhön-Grabfeld;360;(+ 8);452,06;36;45,21;9;-
Rosenheim;3.151;(+ 82);1.205,76;270;103,32;202;-
Rosenheim Stadt;908;(+ 20);1.428,77;84;132,18;23;-
Roth;484;(+ 6);381,86;50;39,45;7;-
Rottal-Inn;1.278;(+ 41);1.051,83;225;185,18;51;-
Schwabach Stadt;168;(+ 1);409,95;15;36,60;2;-
Schwandorf;714;(+ 15);482,85;68;45,99;21;-
