Stand: 29.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;815;(+ 45);605,25;162;120,31;20;-
Altötting;880;(+ 30);789,12;88;78,91;57;-
Amberg Stadt;183;(+ 3);433,58;18;42,65;4;-
Amberg-Sulzbach;622;(+ 5);603,60;32;31,05;55;-
Ansbach;996;(+ 56);539,57;171;92,64;28;-
Ansbach Stadt;253;(+ 11);605,29;32;76,56;8;-
Aschaffenburg;1.022;(+ 31);586,68;147;84,39;42;-
Aschaffenburg Stadt;304;(+ 18);428,16;56;78,87;2;-
Augsburg;1.355;-;534,58;250;98,63;13;-
Augsburg Stadt;2.394;(+ 168);807,20;661;222,87;18;-
Bad Kissingen;385;(+ 9);372,94;57;55,21;18;-
Bad Tölz;835;(+ 23);652,77;97;75,83;10;-
Bamberg;739;(+ 35);502,16;117;79,50;38;-
Bamberg Stadt;384;(+ 30);496,30;79;102,10;22;-
Bayreuth;603;(+ 18);581,69;98;94,54;28;-
Bayreuth Stadt;444;(+ 20);593,72;108;144,42;12;-
Berchtesgadener Land;1.157;(+ 50);1.092,24;280;264,33;28;(+ 2)
Cham;810;(+ 33);632,82;132;103,13;21;-
Coburg;546;(+ 13);629,42;56;64,56;31;-
Coburg Stadt;192;(+ 4);467,47;21;51,13;4;-
Dachau;1.615;(+ 27);1.042,61;142;91,67;37;(+ 1)
Deggendorf;728;(+ 22);609,32;130;108,81;20;-
Dillingen a.d. Donau;525;(+ 22);543,69;84;86,99;29;-
Dingolfing-Landau;1.161;(+ 20);1.200,83;89;92,05;11;-
Donau-Ries;806;(+ 43);602,47;165;123,33;26;-
Ebersberg;1.157;(+ 66);805,44;186;129,48;8;-
Eichstätt;601;-;452,28;69;51,93;21;-
Erding;1.109;(+ 34);802,56;121;87,57;11;-
Erlangen Stadt;594;(+ 21);527,87;89;79,09;12;-
Erlangen-Höchstadt;579;(+ 13);421,82;95;69,21;11;-
Forchheim;455;(+ 15);391,56;91;78,31;4;-
Freising;1.730;(+ 44);961,07;219;121,66;48;-
Freyung-Grafenau;382;(+ 11);487,48;75;95,71;14;-
Fürstenfeldbruck;2.100;(+ 68);957,54;263;119,92;38;-
Fürth;826;(+ 49);700,87;101;85,70;61;(+ 1)
Fürth Stadt;855;(+ 65);665,39;113;87,94;38;-
Garmisch-Partenkirchen;545;(+ 23);616,35;74;83,69;20;-
Günzburg;726;(+ 30);571,53;158;124,38;5;(+ 1)
Haßberge;386;(+ 14);457,43;82;97,17;6;-
Hof;664;(+ 9);700,41;65;68,56;33;(+ 1)
Hof Stadt;237;(+ 3);517,18;24;52,37;5;-
Ingolstadt Stadt;1.154;(+ 45);839,93;158;115,00;41;(+ 1)
Kaufbeuren Stadt;334;(+ 36);752,29;87;195,95;12;-
Kelheim;806;(+ 29);654,98;70;56,88;36;-
Kempten Stadt;331;(+ 22);478,66;88;127,26;10;-
Kitzingen;481;(+ 13);527,67;110;120,67;4;-
Kronach;270;(+ 12);404,54;45;67,42;3;-
Kulmbach;481;(+ 19);672,11;127;177,46;11;-
Landsberg am Lech;711;(+ 17);591,01;102;84,79;10;-
Landshut;1.217;(+ 19);761,12;181;113,20;34;-
Landshut Stadt;561;(+ 5);764,19;60;81,73;9;-
Lichtenfels;558;(+ 35);835,63;121;181,20;19;-
