Stand: 29.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Lindau (Bodensee);488;(+ 22);595,26;88;107,34;8;-
Main-Spessart;382;(+ 23);302,79;79;62,62;6;-
Memmingen Stadt;296;(+ 13);671,20;62;140,59;2;-
Miesbach;1.026;(+ 29);1.025,90;157;156,98;11;-
Miltenberg;766;(+ 24);594,98;179;139,04;11;(+ 1)
Mühldorf a.Inn;1.053;(+ 30);908,76;184;158,80;27;-
München;2.997;(+ 73);855,13;409;116,70;96;-
München Stadt;16.204;(+ 364);1.091,75;1.864;125,59;244;(+ 4)
Neu-Ulm;1.220;(+ 58);696,33;207;118,15;26;-
Neuburg-Schrobenhausen;699;(+ 25);718,37;135;138,74;18;-
Neumarkt i.d.Opf.;792;(+ 25);588,53;116;86,20;18;(+ 1)
Neustadt a.d. Aisch-Bad Windsheim;382;(+ 11);378,17;49;48,51;6;-
Neustadt a.d. Waldnaab;1.246;(+ 29);1.319,22;162;171,52;75;-
Nürnberg Stadt;3.307;-;637,96;513;98,96;58;-
Nürnberger Land;1.066;(+ 45);624,15;136;79,63;46;-
Oberallgäu;580;(+ 39);371,78;178;114,10;8;-
Ostallgäu;1.073;(+ 39);760,01;172;121,83;40;-
Passau;1.396;(+ 77);724,61;279;144,82;31;-
Passau Stadt;358;(+ 21);677,99;71;134,46;18;-
Pfaffenhofen a.d.Ilm;799;(+ 47);623,11;138;107,62;23;-
Regen;438;(+ 10);565,82;43;55,55;12;-
Regensburg;1.035;(+ 39);533,31;161;82,96;17;-
Regensburg Stadt;1.222;(+ 34);798,20;121;79,04;10;-
Rhön-Grabfeld;388;(+ 2);487,22;47;59,02;9;-
Rosenheim;3.487;(+ 88);1.334,33;471;180,23;206;(+ 2)
Rosenheim Stadt;1.022;(+ 21);1.608,16;163;256,49;23;-
Roth;564;(+ 15);444,97;95;74,95;8;-
Rottal-Inn;1.509;(+ 11);1.241,95;314;258,43;57;-
Schwabach Stadt;193;(+ 4);470,95;27;65,88;2;-
Schwandorf;776;(+ 18);524,78;92;62,22;21;-
Schweinfurt;1.138;(+ 46);985,75;220;190,57;28;(+ 1)
Schweinfurt Stadt;481;(+ 32);900,31;116;217,12;19;-
Starnberg;1.077;(+ 32);788,05;117;85,61;13;-
Straubing Stadt;593;(+ 8);1.240,82;44;92,07;48;-
Straubing-Bogen;776;(+ 15);767,41;83;82,08;29;-
Tirschenreuth;1.379;(+ 10);1.914,05;48;66,62;142;-
Traunstein;1.879;(+ 62);1.059,67;239;134,79;88;-
Unterallgäu;861;(+ 37);592,40;194;133,48;23;(+ 1)
Weiden Stadt;572;(+ 7);1.338,23;71;166,11;20;-
Weilheim-Schongau;793;(+ 22);585,33;139;102,60;4;-
Weißenburg-Gunzenhausen;586;(+ 15);618,57;69;72,84;25;-
Wunsiedel i.Fichtelgebirge;902;(+ 13);1.241,48;52;71,57;46;-
Würzburg;936;(+ 34);576,70;134;82,56;7;-
Würzburg Stadt;1.131;(+ 35);884,05;148;115,68;52;-
Gesamtergebnis;99.472;(+ 3.057);757,90;14.632;111,48;2.787;(+ 17)
