Stand: 23.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;669;(+ 16);496,83;81;60,15;20;-
Altötting;792;-;710,21;25;22,42;57;-
Amberg Stadt;166;(+ 1);393,30;9;21,32;4;-
Amberg-Sulzbach;598;(+ 8);580,31;32;31,05;54;-
Ansbach;833;(+ 10);451,27;75;40,63;28;-
Ansbach Stadt;216;-;516,77;8;19,14;8;-
Aschaffenburg;872;(+ 24);500,57;89;51,09;42;-
Aschaffenburg Stadt;250;(+ 12);352,10;35;49,29;1;-
Augsburg;1.118;(+ 14);441,08;195;76,93;13;-
Augsburg Stadt;1.824;(+ 94);615,01;455;153,41;17;-
Bad Kissingen;335;(+ 8);324,50;24;23,25;18;-
Bad Tölz;752;(+ 15);587,88;58;45,34;10;-
Bamberg;631;(+ 11);428,78;54;36,69;38;-
Bamberg Stadt;313;(+ 8);404,53;24;31,02;22;-
Bayreuth;526;(+ 22);507,41;56;54,02;29;(+ 1)
Bayreuth Stadt;364;(+ 30);486,74;57;76,22;12;(+ 1)
Berchtesgadener Land;919;(+ 42);867,56;295;278,49;26;(+ 1)
Cham;688;(+ 10);537,51;84;65,63;21;-
Coburg;504;(+ 14);581,00;40;46,11;31;(+ 1)
Coburg Stadt;172;(+ 1);418,78;19;46,26;4;-
Dachau;1.496;(+ 28);965,79;143;92,32;35;-
Deggendorf;624;(+ 34);522,27;73;61,10;20;-
Dillingen a.d. Donau;453;(+ 12);469,13;39;40,39;29;-
Dingolfing-Landau;1.089;(+ 17);1.126,36;54;55,85;11;-
Donau-Ries;669;(+ 30);500,06;121;90,44;26;-
Ebersberg;997;(+ 26);694,05;91;63,35;8;(+ 1)
Eichstätt;542;(+ 11);407,88;70;52,68;20;-
Erding;998;(+ 26);722,24;65;47,04;11;-
Erlangen Stadt;513;(+ 13);455,89;59;52,43;12;-
Erlangen-Höchstadt;491;(+ 9);357,71;45;32,78;11;-
Forchheim;370;(+ 6);318,41;29;24,96;4;-
Freising;1.536;(+ 25);853,30;96;53,33;48;-
Freyung-Grafenau;317;(+ 10);404,53;32;40,84;14;-
Fürstenfeldbruck;1.872;(+ 63);853,58;230;104,87;38;-
Fürth;746;(+ 16);632,99;79;67,03;60;-
Fürth Stadt;723;(+ 6);562,66;54;42,02;38;-
Garmisch-Partenkirchen;486;(+ 19);549,62;34;38,45;20;-
Günzburg;573;(+ 25);451,09;84;66,13;4;-
Haßberge;318;(+ 14);376,85;58;68,73;6;-
Hof;602;(+ 2);635,01;30;31,65;32;-
Hof Stadt;215;(+ 3);469,18;19;41,46;5;-
Ingolstadt Stadt;1.014;(+ 18);738,03;108;78,61;39;-
Kaufbeuren Stadt;264;(+ 15);594,62;44;99,10;10;-
Kelheim;742;(+ 6);602,97;36;29,25;36;-
Kempten Stadt;246;(+ 2);355,74;40;57,84;10;-
Kitzingen;376;(+ 13);412,48;56;61,43;4;-
Kronach;228;(+ 9);341,61;23;34,46;3;-
Kulmbach;357;(+ 3);498,84;15;20,96;11;-
Landsberg am Lech;626;(+ 20);520,36;88;73,15;10;-
Landshut;1.058;(+ 22);661,68;114;71,30;34;-
Landshut Stadt;511;(+ 10);696,08;33;44,95;9;-
Lichtenfels;454;(+ 17);679,88;47;70,38;17;-
Lindau (Bodensee);410;(+ 10);500,12;51;62,21;8;-
Main-Spessart;316;(+ 13);250,48;38;30,12;6;-
Memmingen Stadt;225;-;510,20;28;63,49;2;-
Miesbach;883;(+ 14);882,91;67;66,99;11;-
Miltenberg;595;(+ 6);462,16;76;59,03;8;-
Mühldorf a.Inn;902;(+ 35);778,45;129;111,33;27;-
München;2.609;(+ 51);744,42;238;67,91;96;-
München Stadt;14.511;(+ 256);977,68;1.288;86,78;238;(+ 1)
Neu-Ulm;1.049;(+ 36);598,73;114;65,07;26;-
Neuburg-Schrobenhausen;582;(+ 18);598,13;75;77,08;18;-
Neumarkt i.d.Opf.;697;(+ 21);517,93;80;59,45;17;-
Neustadt a.d. Aisch-Bad Windsheim;341;(+ 8);337,58;27;26,73;6;-
Neustadt a.d. Waldnaab;1.101;(+ 27);1.165,70;113;119,64;75;-
Nürnberg Stadt;2.876;(+ 83);554,82;369;71,18;55;-
Nürnberger Land;956;(+ 30);559,75;83;48,60;44;-
Oberallgäu;400;(+ 1);256,40;58;37,18;8;-
Ostallgäu;926;(+ 27);655,89;133;94,20;40;-
Passau;1.151;(+ 36);597,44;219;113,67;31;-
Passau Stadt;293;(+ 8);554,89;42;79,54;18;-
Pfaffenhofen a.d.Ilm;675;(+ 15);526,41;103;80,33;23;(+ 1)
Regen;404;(+ 9);521,90;56;72,34;12;-
Regensburg;891;(+ 23);459,11;64;32,98;17;-
Regensburg Stadt;1.115;(+ 13);728,31;79;51,60;10;-
Rhön-Grabfeld;352;(+ 11);442,02;32;40,18;9;-
Rosenheim;3.069;(+ 48);1.174,38;224;85,72;202;-
Rosenheim Stadt;888;(+ 29);1.397,30;73;114,87;23;-
Roth;478;(+ 10);377,12;59;46,55;7;-
Rottal-Inn;1.237;(+ 113);1.018,09;196;161,31;51;-
Schwabach Stadt;167;(+ 1);407,51;17;41,48;2;-
Schwandorf;699;(+ 22);472,71;56;37,87;21;-
Schweinfurt;940;(+ 29);814,24;145;125,60;25;-
Schweinfurt Stadt;380;(+ 16);711,26;61;114,18;18;-
Starnberg;970;(+ 19);709,75;79;57,80;13;-
Straubing Stadt;559;(+ 10);1.169,68;47;98,34;48;-
Straubing-Bogen;709;(+ 18);701,15;50;49,45;29;-
Tirschenreuth;1.335;(+ 3);1.852,98;51;70,79;141;-
Traunstein;1.662;(+ 29);937,29;115;64,85;88;-
Unterallgäu;715;(+ 47);491,95;140;96,33;18;-
Weiden Stadt;503;(+ 10);1.176,80;54;126,34;20;-
Weilheim-Schongau;660;(+ 6);487,16;115;84,88;3;-
Weißenburg-Gunzenhausen;526;(+ 10);555,24;49;51,72;25;-
Wunsiedel i.Fichtelgebirge;859;(+ 9);1.182,30;55;75,70;46;-
Würzburg;818;(+ 16);504,00;106;65,31;7;-
Würzburg Stadt;995;(+ 13);777,74;114;89,11;52;-
Gesamtergebnis;86.477;(+ 2.079);658,89;9.192;70,04;2.734;(+ 7)
