Stand: 20.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;617;(+ 7);458,21;62;46,04;20;-
Altötting;780;(+ 3);699,45;20;17,93;57;-
Amberg Stadt;160;(+ 1);379,08;9;21,32;4;-
Amberg-Sulzbach;577;(+ 7);559,93;16;15,53;54;-
Ansbach;794;(+ 45);430,14;51;27,63;28;-
Ansbach Stadt;212;(+ 5);507,20;5;11,96;8;-
Aschaffenburg;815;(+ 15);467,85;60;34,44;42;-
Aschaffenburg Stadt;227;(+ 4);319,71;18;25,35;1;-
Augsburg;999;(+ 42);394,13;132;52,08;13;(+ 1)
Augsburg Stadt;1.625;(+ 69);547,91;365;123,07;17;(+ 1)
Bad Kissingen;316;(+ 4);306,10;11;10,66;18;-
Bad Tölz;712;(+ 3);556,61;42;32,83;10;-
Bamberg;597;(+ 13);405,67;42;28,54;38;-
Bamberg Stadt;293;(+ 1);378,69;12;15,51;22;-
Bayreuth;485;(+ 4);467,86;21;20,26;28;-
Bayreuth Stadt;316;(+ 2);422,56;17;22,73;11;-
Berchtesgadener Land;769;(+ 21);725,96;250;236,01;25;-
Cham;647;(+ 10);505,48;66;51,56;21;-
Coburg;467;-;538,35;11;12,68;30;-
Coburg Stadt;158;-;384,69;7;17,04;4;-
Dachau;1.417;-;914,79;81;52,29;35;-
Deggendorf;572;(+ 2);478,75;55;46,03;20;-
Dillingen a.d. Donau;429;(+ 6);444,27;31;32,10;29;-
Dingolfing-Landau;1.055;(+ 3);1.091,19;36;37,24;11;-
Donau-Ries;592;(+ 39);442,51;58;43,35;26;-
Ebersberg;928;(+ 5);646,02;74;51,51;7;-
Eichstätt;504;(+ 5);379,29;55;41,39;20;-
Erding;946;(+ 6);684,60;39;28,22;11;-
Erlangen Stadt;476;(+ 5);423,01;46;40,88;12;-
Erlangen-Höchstadt;462;(+ 4);336,58;41;29,87;11;-
Forchheim;352;(+ 6);302,92;27;23,24;4;-
Freising;1.483;(+ 43);823,86;100;55,55;47;-
Freyung-Grafenau;299;(+ 3);381,56;23;29,35;13;(+ 1)
Fürstenfeldbruck;1.730;(+ 83);788,83;198;90,28;38;(+ 1)
Fürth;682;(+ 8);578,69;28;23,76;59;(+ 1)
Fürth Stadt;688;(+ 5);535,42;31;24,13;38;-
Garmisch-Partenkirchen;465;(+ 4);525,88;23;26,01;20;-
Günzburg;524;(+ 34);412,51;62;48,81;4;-
Haßberge;287;(+ 6);340,11;39;46,22;6;-
Hof;582;(+ 2);613,92;19;20,04;32;-
Hof Stadt;204;-;445,17;11;24,00;5;-
Ingolstadt Stadt;949;(+ 2);690,72;74;53,86;39;-
Kaufbeuren Stadt;230;-;518,04;16;36,04;9;-
Kelheim;724;(+ 2);588,34;30;24,38;35;-
Kempten Stadt;227;(+ 1);328,27;27;39,04;10;-
Kitzingen;345;(+ 4);378,48;38;41,69;4;-
Kronach;207;-;310,14;9;13,48;3;-
Kulmbach;349;-;487,66;24;33,54;11;-
Landsberg am Lech;587;(+ 26);487,94;69;57,36;10;-
Landshut;981;(+ 5);613,53;76;47,53;34;-
Landshut Stadt;490;-;667,47;14;19,07;9;-
Lichtenfels;420;-;628,97;25;37,44;17;-
Lindau (Bodensee);388;(+ 6);473,28;42;51,23;8;-
Main-Spessart;289;(+ 1);229,08;24;19,02;6;-
Memmingen Stadt;218;(+ 8);494,33;37;83,90;2;-
Miesbach;841;(+ 10);840,92;40;40,00;11;-
Miltenberg;559;(+ 3);434,20;74;57,48;8;-
Mühldorf a.Inn;812;(+ 4);700,77;119;102,70;27;-
München;2.448;(+ 25);698,48;161;45,94;96;-
München Stadt;13.783;(+ 118);928,63;1.080;72,77;236;-
Neu-Ulm;976;(+ 13);557,06;76;43,38;26;-
Neuburg-Schrobenhausen;536;-;550,86;59;60,64;18;-
Neumarkt i.d.Opf.;649;(+ 13);482,27;49;36,41;17;-
Neustadt a.d. Aisch-Bad Windsheim;325;(+ 3);321,74;19;18,81;6;-
Neustadt a.d. Waldnaab;1.024;(+ 9);1.084,17;61;64,58;75;-
Nürnberg Stadt;2.644;(+ 111);510,06;288;55,56;54;-
Nürnberger Land;907;(+ 1);531,06;60;35,13;44;-
Oberallgäu;375;(+ 7);240,37;54;34,61;8;-
Ostallgäu;841;(+ 1);595,69;97;68,71;40;-
Passau;1.035;(+ 4);537,23;149;77,34;31;-
Passau Stadt;264;(+ 1);499,97;26;49,24;18;-
Pfaffenhofen a.d.Ilm;619;(+ 5);482,74;74;57,71;22;-
Regen;379;-;489,60;67;86,55;12;-
Regensburg;844;(+ 1);434,89;38;19,58;17;-
Regensburg Stadt;1.069;(+ 4);698,26;69;45,07;10;-
Rhön-Grabfeld;328;(+ 4);411,88;11;13,81;9;-
Rosenheim;2.938;(+ 30);1.124,25;193;73,85;201;(+ 1)
Rosenheim Stadt;836;(+ 2);1.315,48;52;81,82;23;-
Roth;442;(+ 22);348,72;49;38,66;7;-
Rottal-Inn;1.124;(+ 71);925,09;163;134,15;51;-
Schwabach Stadt;157;(+ 8);383,10;16;39,04;2;-
Schwandorf;655;(+ 2);442,95;28;18,94;21;-
Schweinfurt;866;(+ 24);750,14;113;97,88;25;-
Schweinfurt Stadt;344;(+ 8);643,88;56;104,82;18;-
Starnberg;922;(+ 8);674,63;69;50,49;13;-
Straubing Stadt;536;(+ 4);1.121,55;28;58,59;48;-
Straubing-Bogen;672;-;664,56;30;29,67;29;-
Tirschenreuth;1.294;-;1.796,07;37;51,36;141;-
Traunstein;1.576;(+ 5);888,79;65;36,66;88;-
Unterallgäu;620;(+ 4);426,58;77;52,98;18;(+ 1)
Weiden Stadt;468;(+ 9);1.094,92;50;116,98;20;-
Weilheim-Schongau;587;(+ 17);433,28;78;57,57;3;-
Weißenburg-Gunzenhausen;495;(+ 4);522,52;33;34,83;25;-
Wunsiedel i.Fichtelgebirge;830;(+ 5);1.142,39;32;44,04;46;-
Würzburg;768;(+ 13);473,19;74;45,59;7;-
Würzburg Stadt;931;(+ 13);727,72;75;58,62;52;-
Gesamtergebnis;80.966;(+ 1.166);616,90;6.788;51,72;2.719;(+ 7)
