Stand: 21.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Oberallgäu;384;(+ 9);246,14;54;34,61;8;-
Ostallgäu;859;(+ 18);608,43;104;73,66;40;-
Passau;1.057;(+ 22);548,65;162;84,09;31;-
Passau Stadt;268;(+ 4);507,55;30;56,81;18;-
Pfaffenhofen a.d.Ilm;627;(+ 8);488,98;79;61,61;22;-
Regen;385;(+ 6);497,35;73;94,30;12;-
Regensburg;853;(+ 9);439,53;43;22,16;17;-
Regensburg Stadt;1.079;(+ 10);704,80;70;45,72;10;-
Rhön-Grabfeld;333;(+ 5);418,16;15;18,84;9;-
Rosenheim;2.959;(+ 21);1.132,28;194;74,24;202;(+ 1)
Rosenheim Stadt;839;(+ 3);1.320,20;47;73,96;23;-
Roth;456;(+ 14);359,77;56;44,18;7;-
Rottal-Inn;1.124;-;925,09;138;113,58;51;-
Schwabach Stadt;162;(+ 5);395,31;20;48,80;2;-
Schwandorf;663;(+ 8);448,36;31;20,96;21;-
Schweinfurt;891;(+ 25);771,80;130;112,61;25;-
Schweinfurt Stadt;353;(+ 9);660,73;60;112,30;18;-
Starnberg;935;(+ 13);684,14;71;51,95;13;-
Straubing Stadt;540;(+ 4);1.129,92;30;62,77;48;-
Straubing-Bogen;679;(+ 7);671,48;34;33,62;29;-
Tirschenreuth;1.297;(+ 3);1.800,24;39;54,13;141;-
Traunstein;1.597;(+ 21);900,64;83;46,81;88;-
Unterallgäu;631;(+ 11);434,15;84;57,80;18;-
Weiden Stadt;483;(+ 15);1.130,01;56;131,02;20;-
Weilheim-Schongau;624;(+ 37);460,59;108;79,72;3;-
Weißenburg-Gunzenhausen;509;(+ 14);537,29;46;48,56;25;-
Wunsiedel i.Fichtelgebirge;835;(+ 5);1.149,27;35;48,17;46;-
Würzburg;782;(+ 14);481,82;82;50,52;7;-
Würzburg Stadt;955;(+ 24);746,48;93;72,69;52;-
Gesamtergebnis;82.270;(+ 1.304);626,83;7.397;56,36;2.725;(+ 6)
