Stand: 21.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;624;(+ 7);463,41;63;46,79;20;-
Altötting;784;(+ 4);703,04;23;20,62;57;-
Amberg Stadt;162;(+ 2);383,82;10;23,69;4;-
Amberg-Sulzbach;584;(+ 7);566,72;23;22,32;54;-
Ansbach;794;-;430,14;49;26,55;28;-
Ansbach Stadt;212;-;507,20;5;11,96;8;-
Aschaffenburg;825;(+ 10);473,59;62;35,59;42;-
Aschaffenburg Stadt;233;(+ 6);328,16;22;30,99;1;-
Augsburg;1.027;(+ 28);405,18;149;58,78;13;-
Augsburg Stadt;1.686;(+ 61);568,48;394;132,85;17;-
Bad Kissingen;318;(+ 2);308,04;11;10,66;18;-
Bad Tölz;725;(+ 13);566,77;49;38,31;10;-
Bamberg;608;(+ 11);413,15;51;34,66;38;-
Bamberg Stadt;297;(+ 4);383,85;15;19,39;22;-
Bayreuth;492;(+ 7);474,61;27;26,05;28;-
Bayreuth Stadt;322;(+ 6);430,58;22;29,42;11;-
Berchtesgadener Land;813;(+ 44);767,50;278;262,44;25;-
Cham;653;(+ 6);510,16;67;52,34;21;-
Coburg;471;(+ 4);542,96;12;13,83;30;-
Coburg Stadt;160;(+ 2);389,56;9;21,91;4;-
Dachau;1.442;(+ 25);930,93;98;63,27;36;(+ 1)
Deggendorf;580;(+ 8);485,45;56;46,87;20;-
Dillingen a.d. Donau;433;(+ 4);448,42;34;35,21;29;-
Dingolfing-Landau;1.066;(+ 11);1.102,57;40;41,37;11;-
Donau-Ries;617;(+ 25);461,19;80;59,80;26;-
Ebersberg;953;(+ 25);663,42;86;59,87;7;-
Eichstätt;508;(+ 4);382,30;54;40,64;20;-
Erding;957;(+ 11);692,56;47;34,01;11;-
Erlangen Stadt;480;(+ 4);426,56;43;38,21;12;-
Erlangen-Höchstadt;467;(+ 5);340,23;37;26,96;11;-
Forchheim;358;(+ 6);308,08;31;26,68;4;-
Freising;1.491;(+ 8);828,30;108;60,00;47;-
Freyung-Grafenau;302;(+ 3);385,39;23;29,35;13;-
Fürstenfeldbruck;1.772;(+ 42);807,99;225;102,59;38;-
Fürth;700;(+ 18);593,96;43;36,49;60;(+ 1)
Fürth Stadt;710;(+ 22);552,54;50;38,91;38;-
Garmisch-Partenkirchen;467;(+ 2);528,14;25;28,27;20;-
Günzburg;529;(+ 5);416,45;62;48,81;4;-
Haßberge;296;(+ 9);350,78;45;53,33;6;-
Hof;582;-;613,92;13;13,71;32;-
Hof Stadt;204;-;445,17;10;21,82;5;-
Ingolstadt Stadt;974;(+ 25);708,92;90;65,51;39;-
Kaufbeuren Stadt;235;(+ 5);529,30;18;40,54;10;(+ 1)
Kelheim;727;(+ 3);590,78;32;26,00;36;(+ 1)
Kempten Stadt;235;(+ 8);339,84;31;44,83;10;-
Kitzingen;357;(+ 12);391,64;47;51,56;4;-
Kronach;210;(+ 3);314,64;11;16,48;3;-
Kulmbach;351;(+ 2);490,46;25;34,93;11;-
Landsberg am Lech;591;(+ 4);491,26;68;56,52;10;-
Landshut;998;(+ 17);624,16;90;56,29;34;-
Landshut Stadt;493;(+ 3);671,56;17;23,16;9;-
Lichtenfels;434;(+ 14);649,93;34;50,92;17;-
Lindau (Bodensee);392;(+ 4);478,16;47;57,33;8;-
Main-Spessart;294;(+ 5);233,04;24;19,02;6;-
Memmingen Stadt;225;(+ 7);510,20;41;92,97;2;-
Miesbach;854;(+ 13);853,91;51;50,99;11;-
Miltenberg;565;(+ 6);438,86;73;56,70;8;-
Mühldorf a.Inn;847;(+ 35);730,98;140;120,82;27;-
München;2.470;(+ 22);704,76;168;47,94;96;-
München Stadt;13.976;(+ 193);941,64;1.117;75,26;236;-
Neu-Ulm;989;(+ 13);564,48;76;43,38;26;-
Neuburg-Schrobenhausen;548;(+ 12);563,19;64;65,77;18;-
Neumarkt i.d.Opf.;655;(+ 6);486,72;52;38,64;17;-
Neustadt a.d. Aisch-Bad Windsheim;328;(+ 3);324,71;21;20,79;6;-
Neustadt a.d. Waldnaab;1.048;(+ 24);1.109,58;76;80,47;75;-
Nürnberg Stadt;2.692;(+ 48);519,32;296;57,10;55;(+ 1)
Nürnberger Land;919;(+ 12);538,08;70;40,99;44;-
