Stand: 25.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;708;(+ 39);525,79;101;75,01;20;-
Altötting;816;-;731,73;46;41,25;57;-
Amberg Stadt;173;(+ 5);409,88;14;33,17;4;-
Amberg-Sulzbach;609;(+ 2);590,98;41;39,79;54;-
Ansbach;866;(+ 33);469,15;80;43,34;28;-
Ansbach Stadt;224;(+ 8);535,91;13;31,10;8;-
Aschaffenburg;925;(+ 28);531,00;117;67,16;42;-
Aschaffenburg Stadt;263;(+ 8);370,41;36;50,70;2;-
Augsburg;1.207;-;476,19;264;104,16;13;-
Augsburg Stadt;1.969;(+ 19);663,90;445;150,04;18;-
Bad Kissingen;358;(+ 8);346,78;46;44,56;18;-
Bad Tölz;772;(+ 11);603,52;67;52,38;10;-
Bamberg;663;(+ 24);450,52;80;54,36;38;-
Bamberg Stadt;332;(+ 14);429,09;40;51,70;22;-
Bayreuth;547;(+ 4);527,67;66;63,67;28;-
Bayreuth Stadt;383;(+ 3);512,15;68;90,93;12;-
Berchtesgadener Land;959;(+ 40);905,32;265;250,17;25;(- 1)
Cham;722;(+ 17);564,07;100;78,13;21;-
Coburg;517;(+ 6);595,99;51;58,79;31;-
Coburg Stadt;180;(+ 5);438,25;24;58,43;4;-
Dachau;1.547;(+ 21);998,72;132;85,22;36;-
Deggendorf;644;(+ 9);539,01;82;68,63;20;-
Dillingen a.d. Donau;474;(+ 17);490,88;53;54,89;29;-
Dingolfing-Landau;1.108;(+ 5);1.146,01;59;61,02;11;-
Donau-Ries;707;(+ 15);528,47;154;115,11;26;-
Ebersberg;1.045;(+ 22);727,47;126;87,71;8;-
Eichstätt;564;(+ 6);424,44;72;54,18;20;-
Erding;1.021;-;738,88;81;58,62;11;-
Erlangen Stadt;535;(+ 8);475,44;65;57,76;12;-
Erlangen-Höchstadt;523;(+ 14);381,02;65;47,35;11;-
Forchheim;403;(+ 22);346,81;57;49,05;4;-
Freising;1.555;-;863,86;115;63,89;48;-
Freyung-Grafenau;330;(+ 11);421,12;35;44,66;14;-
Fürstenfeldbruck;1.898;-;865,44;184;83,90;38;-
Fürth;753;(+ 8);638,93;81;68,73;60;-
Fürth Stadt;751;(+ 10);584,45;55;42,80;38;-
Garmisch-Partenkirchen;501;(+ 10);566,59;41;46,37;20;-
Günzburg;590;-;464,47;78;61,40;4;-
Haßberge;339;(+ 6);401,73;60;71,10;6;-
Hof;628;(+ 4);662,44;49;51,69;32;-
Hof Stadt;221;(+ 4);482,27;17;37,10;5;-
Ingolstadt Stadt;1.078;(+ 25);784,62;143;104,08;39;-
Kaufbeuren Stadt;276;(+ 8);621,65;46;103,61;10;-
Kelheim;750;-;609,47;39;31,69;36;-
Kempten Stadt;293;(+ 19);423,71;79;114,24;10;-
Kitzingen;421;(+ 30);461,85;78;85,57;4;-
Kronach;236;(+ 5);353,60;29;43,45;3;-
Kulmbach;383;(+ 4);535,17;35;48,91;11;-
Landsberg am Lech;641;-;532,83;80;66,50;10;-
Landshut;1.085;-;678,57;117;73,17;34;-
Landshut Stadt;524;-;713,79;41;55,85;9;-
Lichtenfels;477;(+ 11);714,33;60;89,85;17;-
Lindau (Bodensee);423;(+ 8);515,97;52;63,43;8;-
Main-Spessart;330;(+ 8);261,58;48;38,05;6;-
Memmingen Stadt;266;(+ 11);603,17;56;126,98;2;-
Miesbach;919;(+ 14);918,91;85;84,99;11;-
Miltenberg;671;(+ 26);521,19;120;93,21;9;-
Mühldorf a.Inn;947;(+ 34);817,28;141;121,69;27;-
München;2.750;(+ 69);784,65;334;95,30;96;-
München Stadt;15.096;(+ 215);1.017,10;1.493;100,59;239;(+ 2)
Neu-Ulm;1.111;(+ 45);634,12;155;88,47;26;-
Neuburg-Schrobenhausen;631;(+ 34);648,49;101;103,80;18;-
Neumarkt i.d.Opf.;702;-;521,65;66;49,04;17;-
