Stand: 25.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Neustadt a.d. Aisch-Bad Windsheim;353;(+ 8);349,46;31;30,69;6;-
Neustadt a.d. Waldnaab;1.152;(+ 14);1.219,69;139;147,17;75;-
Nürnberg Stadt;2.928;-;564,85;394;76,01;56;-
Nürnberger Land;998;(+ 19);584,34;94;55,04;44;-
Oberallgäu;488;(+ 54);312,80;134;85,89;8;-
Ostallgäu;968;(+ 30);685,64;131;92,79;40;-
Passau;1.212;(+ 33);629,10;199;103,29;31;-
Passau Stadt;317;(+ 16);600,34;56;106,05;18;-
Pfaffenhofen a.d.Ilm;710;(+ 3);553,71;101;78,77;23;-
Regen;411;(+ 3);530,94;38;49,09;12;-
Regensburg;930;(+ 17);479,21;88;45,34;17;-
Regensburg Stadt;1.148;(+ 17);749,87;84;54,87;10;-
Rhön-Grabfeld;360;-;452,06;36;45,21;9;-
Rosenheim;3.210;(+ 59);1.228,33;310;118,62;202;-
Rosenheim Stadt;926;(+ 18);1.457,10;96;151,06;23;-
Roth;484;-;381,86;48;37,87;7;-
Rottal-Inn;1.330;(+ 52);1.094,63;277;227,98;51;-
Schwabach Stadt;168;-;409,95;15;36,60;2;-
Schwandorf;721;(+ 7);487,58;70;47,34;21;-
Schweinfurt;993;(+ 27);860,15;158;136,86;25;-
Schweinfurt Stadt;407;(+ 20);761,80;74;138,51;18;-
Starnberg;1.000;(+ 14);731,71;86;62,93;13;-
Straubing Stadt;569;(+ 7);1.190,60;42;87,88;48;-
Straubing-Bogen;737;(+ 16);728,84;68;67,25;29;-
Tirschenreuth;1.342;(+ 1);1.862,70;52;72,18;142;-
Traunstein;1.740;(+ 59);981,28;177;99,82;88;-
Unterallgäu;723;-;497,45;120;82,56;18;-
Weiden Stadt;537;(+ 7);1.256,35;78;182,49;20;-
Weilheim-Schongau;690;-;509,31;120;88,58;4;-
Weißenburg-Gunzenhausen;544;(+ 8);574,24;53;55,95;25;-
Wunsiedel i.Fichtelgebirge;869;(+ 3);1.196,06;55;75,70;46;-
Würzburg;852;(+ 18);524,95;100;61,61;7;-
Würzburg Stadt;1.037;(+ 19);810,57;123;96,14;52;-
Gesamtergebnis;90.194;(+ 1.581);687,21;10.670;81,30;2.740;(+ 1)
