Stand: 19.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Aichach-Friedberg;610;(+ 2);453,01;64;47,53;20;-
Altötting;777;(+ 7);696,76;19;17,04;57;-
Amberg Stadt;159;-;376,71;9;21,32;4;-
Amberg-Sulzbach;570;(+ 2);553,13;10;9,70;54;-
Ansbach;749;-;405,76;14;7,58;28;-
Ansbach Stadt;207;-;495,24;5;11,96;8;-
Aschaffenburg;800;-;459,24;49;28,13;42;-
Aschaffenburg Stadt;223;-;314,08;15;21,13;1;-
Augsburg;957;(+ 20);377,56;133;52,47;12;-
Augsburg Stadt;1.556;(+ 98);524,64;351;118,35;16;-
Bad Kissingen;312;-;302,22;14;13,56;18;-
Bad Tölz;709;(+ 11);554,27;42;32,83;10;-
Bamberg;584;-;396,84;32;21,74;38;-
Bamberg Stadt;292;-;377,39;11;14,22;22;-
Bayreuth;481;-;464,00;17;16,40;28;-
Bayreuth Stadt;314;-;419,88;17;22,73;11;-
Berchtesgadener Land;748;(+ 57);706,13;267;252,06;25;-
Cham;637;(+ 15);497,66;58;45,31;21;-
Coburg;467;(+ 1);538,35;11;12,68;30;-
Coburg Stadt;158;(+ 2);384,69;7;17,04;4;-
Dachau;1.417;(+ 5);914,79;97;62,62;35;-
Deggendorf;570;(+ 12);477,08;54;45,20;20;-
Dillingen a.d. Donau;423;(- 2);438,06;28;29,00;29;-
Dingolfing-Landau;1.052;(+ 3);1.088,09;35;36,20;11;-
Donau-Ries;553;-;413,36;30;22,42;26;-
Ebersberg;923;(+ 4);642,54;75;52,21;7;-
Eichstätt;499;(+ 7);375,52;51;38,38;20;-
Erding;940;-;680,26;40;28,95;11;-
Erlangen Stadt;471;(+ 1);418,56;44;39,10;12;-
Erlangen-Höchstadt;458;(+ 2);333,67;38;27,68;11;-
Forchheim;346;-;297,75;25;21,51;4;-
Freising;1.440;-;799,97;71;39,44;47;-
Freyung-Grafenau;296;-;377,73;35;44,66;12;-
Fürstenfeldbruck;1.647;-;750,99;120;54,72;37;-
Fürth;674;(+ 6);571,90;29;24,61;58;-
Fürth Stadt;683;(+ 6);531,53;33;25,68;38;-
Garmisch-Partenkirchen;461;(+ 2);521,35;19;21,49;20;-
Günzburg;490;-;385,74;38;29,91;4;-
Haßberge;281;(+ 1);333,00;34;40,29;6;-
Hof;580;-;611,81;22;23,21;32;-
Hof Stadt;204;(+ 1);445,17;11;24,00;5;-
Ingolstadt Stadt;947;(+ 12);689,27;76;55,32;39;-
Kaufbeuren Stadt;230;-;518,04;16;36,04;9;-
Kelheim;722;(+ 11);586,72;33;26,82;35;-
Kempten Stadt;226;(+ 12);326,82;28;40,49;10;-
Kitzingen;341;-;374,09;34;37,30;4;-
Kronach;207;-;310,14;9;13,48;3;-
Kulmbach;349;(+ 1);487,66;24;33,54;11;-
Landsberg am Lech;561;-;466,33;57;47,38;10;-
Landshut;976;(+ 8);610,40;76;47,53;34;-
Landshut Stadt;490;(+ 7);667,47;14;19,07;9;-
Lichtenfels;420;(+ 2);628,97;24;35,94;17;-
Lindau (Bodensee);382;(+ 10);465,96;39;47,57;8;-
Main-Spessart;288;(+ 6);228,29;24;19,02;6;-
Memmingen Stadt;210;-;476,19;30;68,03;2;-
Miesbach;831;-;830,92;34;34,00;11;-
Miltenberg;556;(+ 3);431,87;75;58,26;8;-
Mühldorf a.Inn;808;(+ 2);697,32;121;104,43;27;-
München;2.423;(+ 11);691,35;148;42,23;96;-
München Stadt;13.665;(+ 97);920,68;1.075;72,43;236;-
Neu-Ulm;963;(+ 7);549,64;67;38,24;26;-
Neuburg-Schrobenhausen;536;(+ 7);550,86;64;65,77;18;-
Neumarkt i.d.Opf.;636;-;472,61;44;32,70;17;-
Neustadt a.d. Aisch-Bad Windsheim;322;-;318,77;16;15,84;6;-
