Stand: 19.10.2020, 08:00 Uhr
Landkreis/Stadt;Anzahl der Fälle;Fälle Änderung zum Vortag;Fallzahl pro 100.000 Einwohner;Fälle der letzten 7 Tage;7-Tage-Inzidenz pro 100.000 Einwohner;Anzahl der Todesfälle;Todesfälle Änderung zum Vortag
Neustadt a.d. Waldnaab;1.015;(+ 2);1.074,64;53;56,11;75;-
Nürnberg Stadt;2.533;-;488,65;229;44,18;54;-
Nürnberger Land;906;(+ 15);530,47;70;40,99;44;-
Oberallgäu;368;(+ 14);235,89;61;39,10;8;-
Ostallgäu;840;(+ 7);594,98;96;68,00;40;-
Passau;1.031;(+ 18);535,15;146;75,78;31;-
Passau Stadt;263;(+ 2);498,08;25;47,35;18;-
Pfaffenhofen a.d.Ilm;614;(+ 21);478,84;73;56,93;22;-
Regen;379;(+ 6);489,60;75;96,89;12;-
Regensburg;843;(+ 4);434,38;40;20,61;17;-
Regensburg Stadt;1.065;(+ 3);695,65;67;43,76;10;-
Rhön-Grabfeld;324;-;406,86;9;11,30;9;-
Rosenheim;2.908;(+ 3);1.112,77;168;64,29;200;-
Rosenheim Stadt;834;(+ 5);1.312,33;56;88,12;23;-
Roth;420;-;331,36;29;22,88;7;-
Rottal-Inn;1.053;-;866,65;118;97,12;51;-
Schwabach Stadt;149;-;363,58;13;31,72;2;-
Schwandorf;653;(+ 2);441,60;26;17,58;21;-
Schweinfurt;842;(+ 13);729,35;95;82,29;25;-
Schweinfurt Stadt;336;(+ 5);628,91;50;93,59;18;-
Starnberg;914;(+ 9);668,78;67;49,02;13;-
Straubing Stadt;532;(+ 5);1.113,18;25;52,31;48;-
Straubing-Bogen;672;(+ 3);664,56;30;29,67;29;-
Tirschenreuth;1.294;(+ 4);1.796,07;38;52,74;141;-
Traunstein;1.571;(+ 4);885,97;60;33,84;88;-
Unterallgäu;616;(+ 35);423,83;86;59,17;17;-
Weiden Stadt;459;-;1.073,86;43;100,60;20;-
Weilheim-Schongau;570;-;420,73;70;51,67;3;-
Weißenburg-Gunzenhausen;491;-;518,29;29;30,61;25;-
Wunsiedel i.Fichtelgebirge;825;(+ 11);1.135,50;27;37,16;46;-
Würzburg;755;(+ 3);465,18;64;39,43;7;-
Würzburg Stadt;918;(+ 5);717,56;62;48,46;52;-
Gesamtergebnis;79.800;(+ 658);608,01;6.302;48,02;2.712;-
